carname,carprice,carbrand,cartype,powerway,timemark,car_motor,motor_type,car_gl,car_nj,battery_type,battery_tec,battery_brand,battery_cap,dir_way,bef_xg,aft_xg
无界Pro 2023款 408KM 魔兽版 三元锂 40.296kWh ,10.59万,奇瑞新能源,微型车,纯电动,2022.11,纯电动 95马力,永磁/同步,70,120,三元锂电池,首任车主不限年限/里程(责任免除条款以官方为准),40.3,"快充0.5小时
慢充7小时",后置后驱,麦弗逊式独立悬挂,连杆支柱式独立悬挂
无界Pro 2023款 408KM 神兽版 三元锂 40.296kWh ,11.59万,奇瑞新能源,微型车,纯电动,2022.11,纯电动 95马力,永磁/同步,70,120,三元锂电池,首任车主不限年限/里程(责任免除条款以官方为准),40.3,"快充0.5小时
慢充7小时",后置后驱,麦弗逊式独立悬挂,连杆支柱式独立悬挂
元宝 2022款 低配版,暂无报价,,,,,,,,,,,,,,,
宝马3系(进口) 2023款 330i M Sport 欧洲版,暂无报价,,,,,,,,,,,,,,,
宝马3系PHEV(海外) 2023款 330e Touring 欧洲版,暂无报价,,,,,,,,,,,,,,,
宝马3系(进口) 2023款 330e Touring 欧洲版,暂无报价,,,,,,,,,,,,,,,
Tacoma 2023款 SX Package,暂无报价,,,,,,,,,,,,,,,
坦途 2023款 SX Package,暂无报价,,,,,,,,,,,,,,,
Mustang 2016款 5.0L 自动 四驱 4座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
奕炫 2021款 230T 自动追光骑士版,8.89万,东风乘用车,紧凑型车,汽油,2022.05,1.5T 150马力 L4,1460,4,L,6挡双离合,6,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
奥迪RS 5 2023款 Sportback competition plus,暂无报价,,,,,,,,,,,,,,,
奥迪RS 4 2023款 Avant competition plus,暂无报价,,,,,,,,,,,,,,,
奥迪RS 5 2023款 Coupe competition plus,暂无报价,,,,,,,,,,,,,,,
 0款 ,暂无报价,,,,,,,,,,,,,,,
海马7X-E 2022款 基本型,暂无报价,,,,,,,,,,,,,,,
AMG GT PHEV 2022款 AMG GT 63 S E Performance 4MATIC+ F1 Edition,暂无报价,,插电式混合动力,,4.0T 639马力 V8,12,3982,8,V,插电式混动 204马力,未知,150,320,9挡双离合,9,湿式双离合变速箱（DCT）
奔腾B70 2022款 改款 1.5T 自动悦享型,11.29万,,汽油,,1.5T 169马力 L4,124(169Ps),1498,4,L,7挡双离合,7,双离合变速箱(DCT),,通风盘式,实心盘式,电子驻车
奔腾B70 2022款 改款 1.5T 自动尊享型,12.19万,,汽油,,1.5T 169马力 L4,124(169Ps),1498,4,L,7挡双离合,7,双离合变速箱(DCT),,通风盘式,实心盘式,电子驻车
奔腾B70 2022款 改款 2.0T 自动尊享型,12.89万,,汽油,,2.0T 224马力 L4,165(224Ps),1989,4,L,6挡手自一体,6,手自一体变速箱(AT),,通风盘式,实心盘式,电子驻车
奔腾B70 2022款 改款 2.0T 自动智享型,13.69万,,汽油,,2.0T 224马力 L4,165(224Ps),1989,4,L,6挡手自一体,6,手自一体变速箱(AT),,通风盘式,实心盘式,电子驻车
奔腾B70 2022款 改款 2.0T 自动驭享型,14.49万,,汽油,,2.0T 224马力 L4,165(224Ps),1989,4,L,6挡手自一体,6,手自一体变速箱(AT),,通风盘式,实心盘式,电子驻车
东风风神E70 2022款 500 Plus 超享版 110kW,14.98万,东风乘用车,紧凑型车,纯电动,2022.05,纯电动 150马力,永磁/同步,110,210,三元锂电池,8年或30万公里,52.99,"快充0.6小时
慢充8小时",前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
东风风神E70 2022款 500 超享版 110kW,14.58万,东风乘用车,紧凑型车,纯电动,2022.05,纯电动 150马力,永磁/同步,110,210,磷酸铁锂电池,8年或30万公里,50.3,"快充0.62小时
慢充8小时",前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
宝马X6 2020款 3.0T 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
宝马5系(进口) 2012款 3.0T 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
零跑C11 2023款 增程版 高配版,暂无报价,零跑汽车,中型SUV,增程式,,增程式 272马力,1199,3,L,增程式 272马力,永磁/同步,200,360,电动车单速变速箱,1,固定齿比变速箱
迈巴赫S级 2022款 Concept Mercedes-Maybach Haute Voiture,暂无报价,,,,,,,,,,,,,,,
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
卫士 2023款 130,暂无报价,,,,,,,,,,,,,,,
世纪 2022款 Avenir艾维亚 2.0T 四座基本型,暂无报价,,48V轻混系统,,2.0T 237马力 L4 48V轻混系统,174(237Ps),1998,4,L,9挡手自一体变速箱（AT）,9,手自一体变速箱(AT),,通风盘式,实心盘式,
风光ix5 2022款 1.5T CVT都市豪情版,16.59万,东风小康,中型SUV,汽油,2022.05,1.5T 150马力 L4,1498,4,L,CVT无级变速,无级变速,无级变速箱(CVT),,通风盘式,实心盘式,电子驻车
宝骏KiWi EV 2022款 来电概念款,暂无报价,,,,,,,,,,,,,,,
卡罗拉(进口) 2022款 Commercial 英国版,暂无报价,,,,,,,,,,,,,,,
博速保时捷911 2022款 820 Cabriolet,暂无报价,博速,跑车,,,,,,,,,,,,,
博速Taycan 2022款 Turbo S,暂无报价,博速,中大型车,,,,,,,,,,,,,
博速古思特 2022款 700,暂无报价,博速,大型车,,,,,,,,,,,,,
雷克萨斯RX 2023款 500h Direct4,暂无报价,,,,,,,,,,,,,,,
传祺GS4 2022款 270T 手动舒适升级版,8.98万,,汽油,,1.5T 169马力 L4,124(169Ps),1495,4,L,6挡手动,6,手动变速箱(MT),,通风盘式,实心盘式,手刹
传祺GS4 2022款 270T 手动精英升级版,10.38万,,汽油,,1.5T 169马力 L4,124(169Ps),1495,4,L,6挡手动,6,手动变速箱(MT),,通风盘式,实心盘式,手刹
传祺GS4 2022款 270T 自动智行领航升级版,11.98万,,汽油,,1.5T 169马力 L4,124(169Ps),1495,4,L,6挡手自一体,6,手自一体变速箱(AT),,通风盘式,实心盘式,电子驻车
传祺GS4 2022款 270T 自动智行科技升级版,12.68万,,汽油,,1.5T 169马力 L4,124(169Ps),1495,4,L,6挡手自一体,6,手自一体变速箱(AT),,通风盘式,实心盘式,电子驻车
传祺GS4 2022款 270T 自动智行旗舰升级版,13.18万,,汽油,,1.5T 169马力 L4,124(169Ps),1495,4,L,6挡手自一体,6,手自一体变速箱(AT),,通风盘式,实心盘式,电子驻车
 0款 ,暂无报价,,,,,,,,,,,,,,,
瑞虎8 2022款 1.5TCI 自动新动版 5座,15.99万,奇瑞汽车,中型SUV,汽油,2022.05,1.5T 156马力 L4,1498,4,L,6挡双离合,6,干式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
瑞虎8 2022款 1.5TCI 自动新动版 7座,16.29万,奇瑞汽车,中型SUV,汽油,2022.05,1.5T 156马力 L4,1498,4,L,6挡双离合,6,干式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
 0款 ,暂无报价,,,,,,,,,,,,,,,
柯斯达 2015款 2.7L 手动 后驱 23座 原厂定制版,暂无报价,,汽油,,,,,,,,,,,,,
Utopia 2022款 基本型,暂无报价,帕加尼,跑车,,,,,,,,,,,,,
柯斯达 2018款 4.0L 手动 后驱 12座 原厂定制版,暂无报价,,汽油,,,,,,,,,,,,,
宝马M3 2023款 M3 基本型,暂无报价,,,,,,,,,,,,,,,
奥迪A7L 2022款 45 TFSI S-line 筑梦未来版,43.67万,上汽奥迪,中大型车,汽油,2022.05,2.0T 245马力 L4,1984,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,通风盘式,电子驻车
奥迪A7L 2022款 45 TFSI S-line 筑梦青春版,42.97万,上汽奥迪,中大型车,汽油,2022.05,2.0T 245马力 L4,1984,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,通风盘式,电子驻车
本田Prologue 2022款 基本型,暂无报价,本田(进口),中型SUV,,,,,,,,,,,,,
远程E200S 2022款 基本型,暂无报价,,,,,,,,,,,,,,,
奔腾B70 2021款 1.5T 手动驭智型(副本),9.99万,,汽油,,1.5T 169马力 L4,124(169Ps),1498,4,L,6挡手动,6,手动变速箱(MT),,通风盘式,实心盘式,电子驻车
宝马5系 2022款 二次改款 530Li 尊享型 豪华套装,50.29万,华晨宝马,中大型车,汽油,2022.01,2.0T 252马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马5系 2022款 二次改款 530Li 尊享型 M运动套装,50.29万,华晨宝马,中大型车,汽油,2022.01,2.0T 252马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马5系 2022款 二次改款 530Li 行政型 豪华套装,55.19万,华晨宝马,中大型车,汽油,2022.01,2.0T 252马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
宝马5系 2022款 二次改款 530Li 行政型 M运动套装,55.19万,华晨宝马,中大型车,汽油,2022.01,2.0T 252马力 L4,1998,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
小鹏G3 2022款 基本型,暂无报价,,,,,,,,,,,,,,,
哪吒S 2022款 纯电四驱版,暂无报价,,,,,,,,,,,,,,,
哪吒S 2022款 增程基本型,暂无报价,,,,,,,,,,,,,,,
风景 2022款 Vision Concept,暂无报价,雷诺(进口),紧凑型MPV,,,,,,,,,,,,,
锐际PHEV(进口) 2020款 Plug-In Hybrid Titanium 美国版,暂无报价,,,,,,,,,,,,,,,
宝马5系PHEV 2022款 二次改款 535Le 先锋版M运动套装,53.69万,华晨宝马,中大型车,插电式混合动力,2022.01,2.0T 184马力 L4 插电式混动,1998,4,L,插电式混动 109马力,永磁/同步,80,265,8挡手自一体,8,手自一体变速箱(AT)
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
宝马2系 2022款 218i Coupe 欧洲版,暂无报价,,,,,,,,,,,,,,,
上汽大通MAXUS G50 2021款 试装车,暂无报价,,,,,,,,,,,,,,,
宝马2系 2022款 M240i xDrive Coupe 美国版,暂无报价,,,,,,,,,,,,,,,
QQ冰淇淋 2022款 桃欢喜 香桃款,4.752万,奇瑞新能源,微型车,纯电动,2022.06,纯电动 27马力,永磁/同步,20,85,磷酸铁锂电池,首任车主不限年限/里程(责任免除条款以官方为准),9.6,慢充6小时,后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
上汽大通MAXUS V80 2022款 2.0T 手动 后驱 9座 原厂定制版,暂无报价,,柴油,,,,,,,,,,,,,
QQ冰淇淋 2022款 桃欢喜 甜桃款,5.452万,奇瑞新能源,微型车,纯电动,2022.06,纯电动 27马力,永磁/同步,20,85,磷酸铁锂电池,首任车主不限年限/里程(责任免除条款以官方为准),13.9,慢充8小时,后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
QQ冰淇淋 2022款 桃欢喜 蜜桃款,5.752万,奇瑞新能源,微型车,纯电动,2022.06,纯电动 27马力,永磁/同步,20,85,磷酸铁锂电池,首任车主不限年限/里程(责任免除条款以官方为准),13.9,慢充8小时,后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
 0款 ,暂无报价,,,,,,,,,,,,,,,
奔驰GLA 2022款 二次改款GLA 200,28.39万,北京奔驰,紧凑型SUV,汽油,2022.05,1.3T 163马力 L4,1332,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
Sienna 2022款 XSE 25th Anniversary 美国版,暂无报价,,,,,,,,,,,,,,,
 0款 ,暂无报价,,,,,,,,,,,,,,,
长安CS35 PLUS 2022款 1.6L GDI 手动精英型,6.99万,长安汽车,小型SUV,汽油,2022.05,1.6L 128马力 L4,1598,4,L,5挡手动,5,手动变速箱(MT),,通风盘式,实心盘式,手刹
长安CS35 PLUS 2022款 1.6L GDI 手动豪华型,7.79万,长安汽车,小型SUV,汽油,2022.05,1.6L 128马力 L4,1598,4,L,5挡手动,5,手动变速箱(MT),,通风盘式,实心盘式,手刹
长安CS35 PLUS 2022款 1.6L GDI CVT精英型,8.59万,长安汽车,小型SUV,汽油,2022.05,1.6L 128马力 L4,1598,4,L,CVT无级变速(模拟8挡),无级变速,无级变速箱(CVT),,通风盘式,实心盘式,电子驻车
长安CS35 PLUS 2022款 1.6L GDI CVT豪华型,9.19万,长安汽车,小型SUV,汽油,2022.05,1.6L 128马力 L4,1598,4,L,CVT无级变速(模拟8挡),无级变速,无级变速箱(CVT),,通风盘式,实心盘式,电子驻车
长安CS35 PLUS 2022款 蓝鲸NE 1.4T DCT豪华型,9.39万,长安汽车,小型SUV,汽油,2022.05,1.4T 160马力 L4,1392,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
长安CS35 PLUS 2022款 蓝鲸NE 1.4T DCT尊贵型,9.99万,长安汽车,小型SUV,汽油,2022.05,1.4T 160马力 L4,1392,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
长安CS35 PLUS 2022款 蓝鲸NE 1.4T DCT领航型,10.99万,长安汽车,小型SUV,汽油,2022.05,1.4T 160马力 L4,1392,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
逸动 2022款 PLUS 1.6L GDI 手动精英型,7.29万,长安汽车,紧凑型车,汽油,2022.05,1.6L 128马力 L4,1598,4,L,5挡手动,5,手动变速箱(MT),,通风盘式,实心盘式,手刹
逸动 2022款 PLUS 1.6L GDI 手动豪华型,7.79万,长安汽车,紧凑型车,汽油,2022.05,1.6L 128马力 L4,1598,4,L,5挡手动,5,手动变速箱(MT),,通风盘式,实心盘式,手刹
逸动 2022款 PLUS 1.6L GDI CVT精英型,8.49万,长安汽车,紧凑型车,汽油,2022.05,1.6L 128马力 L4,1598,4,L,CVT无级变速(模拟8挡),无级变速,无级变速箱(CVT),,通风盘式,实心盘式,电子驻车
逸动 2022款 PLUS 1.6L GDI CVT豪华型,8.99万,长安汽车,紧凑型车,汽油,2022.05,1.6L 128马力 L4,1598,4,L,CVT无级变速(模拟8挡),无级变速,无级变速箱(CVT),,通风盘式,实心盘式,电子驻车
逸动 2022款 PLUS 蓝鲸NE 1.4T GDI  DCT尊贵型,9.39万,长安汽车,紧凑型车,汽油,2022.05,1.4T 160马力 L4,1392,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
逸动 2022款 PLUS 蓝鲸NE 1.4T GDI  DCT旗舰型,10.39万,长安汽车,紧凑型车,汽油,2022.05,1.4T 160马力 L4,1392,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
 0款 ,暂无报价,,,,,,,,,,,,,,,
标致408 2022款 基本型 低配,暂无报价,,,,,,,,,,,,,,,
小蚂蚁 2022款 魅 罗曼司 30.6kWh,8.552万,奇瑞新能源,微型车,纯电动,2022.06,纯电动 41马力,永磁/同步,30,120,三元锂电池,首任车主不限年限/里程(责任免除条款以官方为准),30.6,"快充0.5小时
慢充9小时",后置后驱,麦弗逊式独立悬挂,连杆支柱式独立悬挂
小蚂蚁 2022款 魅 洛可可 30.6kWh,9.152万,奇瑞新能源,微型车,纯电动,2022.06,纯电动 41马力,永磁/同步,30,120,三元锂电池,首任车主不限年限/里程(责任免除条款以官方为准),30.6,"快充0.5小时
慢充9小时",后置后驱,麦弗逊式独立悬挂,连杆支柱式独立悬挂
威霆 2014款 3.0L 自动 后驱 7座 原厂定制版,暂无报价,,汽油,,,,,,,,,,,,,
普拉多(进口) 2012款 4.0L 自动 后驱 7座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
JUKE 2022款 Hybrid Rally Tribute,暂无报价,,,,,,,,,,,,,,,
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
Torres 2022款 基本型,暂无报价,双龙汽车,中型SUV,,,,,,,,,,,,,
零跑T03 2022款 特别版,8.59万,零跑汽车,微型车,纯电动,2022.05,纯电动 75马力,永磁/同步,55,155,三元锂电池,8年或15万公里,38,"快充0.6小时
慢充3.5小时",前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
风光MINIEV 2022款 糖果款 半糖,4.96万,东风小康,微型车,纯电动,2022.07,纯电动 34马力,永磁/同步,25,100,磷酸铁锂电池,8年或12万公里,13.8,慢充6.5小时,后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
风光MINIEV 2022款 糖果款 全糖,5.56万,东风小康,微型车,纯电动,2022.07,纯电动 41马力,永磁/同步,30,100,磷酸铁锂电池,8年或12万公里,16.8,慢充7.5小时,后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
小鹏N5 2022款 基本型,暂无报价,小鹏汽车,紧凑型车,,,,,,,,,,,,,
高合HiPhi City 2020款 基本型,暂无报价,华人运通,紧凑型MPV,,,,,,,,,,,,,
奥迪Q4 e-tron 2022款 40 e-tron 先享版,33.7万,一汽-大众奥迪,紧凑型SUV,纯电动,2022.05,纯电动 204马力,永磁/同步,150,310,三元锂电池,8年或16万公里,84.8,"快充0.68小时
慢充12小时",后置后驱,麦弗逊式独立悬挂,多连杆式独立悬挂
奥迪Q4 e-tron 2022款 50 e-tron quattro 先享版,38.25万,一汽-大众奥迪,紧凑型SUV,纯电动,2022.05,纯电动 313马力,前交流/异步后永磁/同步,80,472,三元锂电池,8年或16万公里,84.8,"快充0.68小时
慢充12小时",双电机四驱,电动四驱,麦弗逊式独立悬挂
奥迪Q4 e-tron 2022款 40 e-tron 创行版,29.99万,一汽-大众奥迪,紧凑型SUV,纯电动,2022.07,纯电动 204马力,永磁/同步,150,310,三元锂电池,8年或16万公里,84.8,"快充0.68小时
慢充12小时",后置后驱,麦弗逊式独立悬挂,多连杆式独立悬挂
奥迪Q4 e-tron 2022款 40 e-tron 创境版,32.71万,一汽-大众奥迪,紧凑型SUV,纯电动,2022.07,纯电动 204马力,永磁/同步,150,310,三元锂电池,8年或16万公里,84.8,"快充0.68小时
慢充12小时",后置后驱,麦弗逊式独立悬挂,多连杆式独立悬挂
奥迪Q4 e-tron 2022款 50 e-tron quattro 创境版,34.27万,一汽-大众奥迪,紧凑型SUV,纯电动,2022.07,纯电动 313马力,前交流/异步后永磁/同步,80,472,三元锂电池,8年或16万公里,84.8,"快充0.68小时
慢充12小时",双电机四驱,电动四驱,麦弗逊式独立悬挂
奥迪Q4 e-tron 2022款 50 e-tron quattro 创享版,37.71万,一汽-大众奥迪,紧凑型SUV,纯电动,2022.07,纯电动 313马力,前交流/异步后永磁/同步,80,472,三元锂电池,8年或16万公里,84.8,"快充0.68小时
慢充12小时",双电机四驱,电动四驱,麦弗逊式独立悬挂
奔驰GLE AMG 2022款 3.0T 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
龙猫 2023款 1.5L 跃动龙龙版,暂无报价,上汽集团,小型SUV,油电混合,,1.5L 120马力 L4 油电混动,1498,4,L,油电混动 95马力,永磁/同步,70,200,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
龙猫 2023款 1.5L 灵动猫猫版,暂无报价,上汽集团,小型SUV,油电混合,,1.5L 120马力 L4 油电混动,1498,4,L,油电混动 95马力,永磁/同步,70,200,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
Sakura 2023款 基本型,暂无报价,日产(进口),微型车,,,,,,,,,,,,,
特顺 2021款 2.8T空间王加长轴高顶后双胎3座柴油国VI JX493,14.38万,江铃汽车,轻客,柴油,2021.07,2.8T 122马力 L4,2771,4,L,5挡手动,5,手动变速箱(MT),,实心盘式,鼓式,手刹
特顺 2021款 2.8T BUS加长轴17座柴油国VI JX493,15.58万,江铃汽车,轻客,柴油,2021.07,2.8T 122马力 L4,2771,4,L,5挡手动,5,手动变速箱(MT),,实心盘式,鼓式,手刹
欧拉芭蕾猫 2022款 401km 爱丽丝版,19.3万,长城汽车,紧凑型车,纯电动,2022.07,纯电动 171马力,永磁/同步,126,250,磷酸铁锂电池,国轩高科,首任车主不限年限/里程(责任免除条款以官方为准),130.3,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
欧拉芭蕾猫 2022款 401km 胡桃夹子版,20.3万,长城汽车,紧凑型车,纯电动,2022.07,纯电动 171马力,永磁/同步,126,250,磷酸铁锂电池,国轩高科,首任车主不限年限/里程(责任免除条款以官方为准),130.3,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
小鹏G3 2022款 G3i 460G,16.89万,小鹏汽车,紧凑型SUV,纯电动,2022.05,纯电动 197马力,永磁/同步,145,300,磷酸铁锂电池,宁德时代、中航锂电、亿纬锂能,8年或15万公里,,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
小鹏G3 2022款 G3i 460N,18.89万,小鹏汽车,紧凑型SUV,纯电动,2022.05,纯电动 197马力,永磁/同步,145,300,三元锂电池,宁德时代、中航锂电、亿纬锂能,8年或15万公里,160.0,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
小鹏G3 2022款 G3i 520G+,18.19万,小鹏汽车,紧凑型SUV,纯电动,2022.05,纯电动 197马力,永磁/同步,145,300,三元锂电池,宁德时代、中航锂电、亿纬锂能,8年或15万公里,170.0,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
小鹏G3 2022款 G3i 520N+,17.69万,小鹏汽车,紧凑型SUV,纯电动,2022.05,纯电动 197马力,永磁/同步,145,300,三元锂电池,宁德时代、中航锂电、亿纬锂能,8年或15万公里,170.0,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
欧拉芭蕾猫 2022款 500km 睡美人版,21.3万,长城汽车,紧凑型车,纯电动,2022.07,纯电动 171马力,永磁/同步,126,250,磷酸铁锂电池,蜂巢能源,首任车主不限年限/里程(责任免除条款以官方为准),145.1,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
欧拉芭蕾猫 2022款 500km 天鹅湖版,22.3万,长城汽车,紧凑型车,纯电动,2022.07,纯电动 171马力,永磁/同步,126,250,磷酸铁锂电池,蜂巢能源,首任车主不限年限/里程(责任免除条款以官方为准),145.1,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
宝马5系(进口) 2019款 2.0T 自动 后驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
宝马3系(进口) 2017款 2.0T 自动 后驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
Sienna 2019款 2.5L 自动 后驱 7座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
总裁 2018款 3.0T 自动 后驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
途乐 2019款 4.0L 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
女王 2010款 2.0L 自动 后驱 2座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
轩逸 2022款 经典 1.6XE CVT专享版,14.08万,东风日产,紧凑型车,汽油,2022.05,1.6L 122马力 L4,1598,4,L,CVT无级变速,无级变速,无级变速箱(CVT),,通风盘式,实心盘式,手刹
 0款 ,暂无报价,,插电式混合动力,,,,,,,,,,,,,
宝马X3(进口) 2022款 M40i,62.99万,宝马(进口),中型SUV,汽油,2022.05,3.0T 333马力 L6,2998,6,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,通风盘式,电子驻车
卡罗拉 2022款 1.5L CVT先锋版,11.98万,一汽丰田,紧凑型车,汽油,2021.10,1.5L 121马力 L3,1490,3,L,CVT无级变速(模拟10挡),无级变速,无级变速箱(CVT),,通风盘式,实心盘式,电子驻车
卡罗拉 2022款 1.2T S-CVT先锋PLUS版,12.28万,一汽丰田,紧凑型车,汽油,2021.10,1.2T 116马力 L4,1197,4,L,CVT无级变速(模拟10挡),无级变速,无级变速箱(CVT),,通风盘式,实心盘式,电子驻车
捷途X70 PLUS 2022款 1.6T DCT地 Pro+ 5座,13.09万,奇瑞汽车,中型SUV,汽油,2022.05,1.6T 197马力 L4,1598,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
捷途X70 PLUS 2022款 1.6T DCT地 Pro+ 7座,13.39万,奇瑞汽车,中型SUV,汽油,2022.05,1.6T 197马力 L4,1598,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
 0款 ,暂无报价,,,,,,,,,,,,,,,
卡罗拉 2022款 1.5L 手动先锋版,10.98万,一汽丰田,紧凑型车,汽油,2021.10,1.5L 121马力 L3,1490,3,L,6挡手动,6,手动变速箱(MT),,通风盘式,实心盘式,电子驻车
奔驰E级AMG 2022款 AMG E 63 S 4MATIC+ Final Edition,暂无报价,,,,,,,,,,,,,,,
卡罗拉 2022款 双擎 1.8L E-CVT先锋版,13.58万,一汽丰田,紧凑型车,油电混合,2021.10,1.8L 98马力 L4 油电混动,1798,4,L,油电混动 72马力,永磁/同步,53,163,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
迈巴赫SL级 2022款 基本型,暂无报价,梅赛德斯-迈巴赫,跑车,,,,,,,,,,,,,
三菱eK EV 2022款 eK X EV,暂无报价,,,,,,,,,,,,,,,
Taycan 2022款 Taycan GTS Hockenheimring Edition,暂无报价,,,,,,,,,,,,,,,
浮影 2022款 基本型,暂无报价,,,,,,,,,,,,,,,
海鸥 2023款 高配版,暂无报价,比亚迪,小型车,纯电动,,纯电动 75马力,永磁/同步,55,,磷酸铁锂电池,刀片电池,比亚迪,,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
Alpine A110 2022款 South Beach Colorway Pack,暂无报价,,,,,,,,,,,,,,,
Commander 2022款 Meridian Limited 印度版,暂无报价,,,,,,,,,,,,,,,
揽胜 2018款 3.0T 自动 四驱 5座 ,暂无报价,,柴油,,,,,,,,,,,,,
星途瑶光 2022款 概念车,暂无报价,,,,,,,,,,,,,,,
帕杰罗(进口) 2018款 3.8L 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
 0款 ,暂无报价,,,,,,,,,,,,,,,
恒驰5 2022款 低配版,暂无报价,,纯电动,,纯电动 204马力,558,永磁/同步,150,345,磷酸铁锂电池,CTP,宁德时代,72.8,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
飞行家 2022款 基本型,暂无报价,,,,,,,,,,,,,,,
悍途 2022款 2.4T山猫版手动汽油四驱精英型标双4K22D4T,15.88万,江淮汽车,全尺寸皮卡,汽油,2022.05,2.4T 211马力 L4,2378,4,L,6挡手动,6,手动变速箱(MT),,通风盘式,实心盘式,电子驻车
创酷 2022款 RS 1.5T CVT 酷,10.99万,上汽通用雪佛兰,小型SUV,汽油,2022.05,1.5T 184马力 L4,1498,4,L,CVT无级变速,无级变速,无级变速箱(CVT),,通风盘式,实心盘式,电子驻车
创酷 2022款 RS 1.5T CVT 酷Pro,12.39万,上汽通用雪佛兰,小型SUV,汽油,2022.05,1.5T 184马力 L4,1498,4,L,CVT无级变速,无级变速,无级变速箱(CVT),,通风盘式,实心盘式,电子驻车
创酷 2022款 RS 1.5T CVT 酷Max,12.89万,上汽通用雪佛兰,小型SUV,汽油,2022.05,1.5T 184马力 L4,1498,4,L,CVT无级变速,无级变速,无级变速箱(CVT),,通风盘式,实心盘式,电子驻车
悍途 2022款 2.4T山猫版手动汽油四驱旗舰型标双4K22D4T,17.88万,江淮汽车,全尺寸皮卡,汽油,2022.05,2.4T 211马力 L4,2378,4,L,6挡手动,6,手动变速箱(MT),,通风盘式,实心盘式,电子驻车
